"Abikelner, tase 3",16
"Abikokk, tase 3",367
"Abipürotehnik, tase 3",11
"Abitreener, tase 3",696
Aednik I,228
Aednik II,31
Aednik III,4
"Aednik, tase 4",1
Aeroobikatreener I,16
Aeroobikatreener II,6
Aeroobikatreener III,5
Aeroobikatreener IV,2
Aerutamistreener III,1
Aerutamistreener IV,1
Aianduse konsulent IV,1
Aianduse konsulent V,1
"Aianduse konsulent, tase 5",1
"Aianduse konsulent, tase 6",3
Aikidotreener I,6
Aikidotreener III,1
Aikidotreener IV,1
Allveesporditreener I,1
Allveesporditreener II,1
Allveesporditreener III,1
Allveesporditreener IV,3
Alpinismitreener I,1
Andragoog II,6
Andragoog III,26
Andragoog IV,1
Andragoog V,1
Arborist II,22
Arborist II,28
"Arborist, tase 4",26
"Arhiivi ja raamatukogu pabermaterjalide konservaator, tase 6",4
"Arhitektuuripärandi spetsialist, tase 7",3
"Arhitektuuripärandi spetsialist, tase 8",1
"Arhivaar, tase 6",1
"Arhivaar, tase 7",27
Aroomterapeut III,10
"Aroomterapeut, tase 6",15
"Arstlik kohtutoksikoloogiaekspert, tase 7",1
Arvjuhtimisega metallilõikepinkide operaator I,36
Arvjuhtimisega metallilõikepinkide operaator I,88
Arvjuhtimisega metallilõikepinkide operaator I,65
Autoinsener IV,8
Automaaler I,157
Automaaler I,57
"Automaaler, tase 4",146
Automaatik I,576
Automaatik II,2
Automaatik III,6
Autoplekksepp I,59
"Autoplekksepp-komplekteerija, tase 3",38
Autotehnik I,639
Autotehnik I,71
Autotehnik I,66
Autotehnik I,165
Autotehnik II,72
Autotehnik II,63
"Avavee vetelpäästja, tase 3",6
"Baarmen, tase 4",9
Betoonkonstruktsioonide ehitaja III,2
Bioanalüütik III,26
Bioanalüütik IV,14
"Bioanalüütik, tase 6",1
"Bioanalüütik, tase 6 esmane kutse",1
Biomeditsiiniinsener IV,3
Biomeditsiiniinsener IV,3
Bowlingutreener II,1
Capoeiratreener I,4
Capoeiratreener II,2
Capoeiratreener IV,1
"CNC töötlemiskeskuse operaator, tase 4",77
Defektoskoopia operaator I,4
Dekoraator III,8
Dekoraator III,3
Dekoraator IV,2
"Demineerija EOD1, tase 4",15
"Demineerija EOD2, tase 4",16
"Demineerija EOD3, tase 5",29
"Demineerimisinstruktor, tase 6",14
"Diplomeeritud arhitekt, tase 7",43
Diplomeeritud autoinsener V,9
Diplomeeritud biomeditsiiniinsener V,13
Diplomeeritud biomeditsiiniinsener V,8
"Diplomeeritud biomeditsiinitehnikainsener, tase 7",2
Diplomeeritud ehitusinsener V,399
"Diplomeeritud ehitusinsener, tase 7",317
"Diplomeeritud elektriinsener elektriautomaatika alal, tase 7",1
"Diplomeeritud elektriinsener elektrivõrkude ja -süsteemide alal, tase 7",4
"Diplomeeritud elektriinsener tarbija elektripaigaldiste alal, tase 7",5
Diplomeeritud elektriinsener V,38
"Diplomeeritud elektriinsener, tase 7",1
Diplomeeritud energiaaudiitor V,5
"Diplomeeritud energiatõhususe spetsialist, tase 7",6
"Diplomeeritud hüdrotehnikainsener, tase 7",4
"Diplomeeritud kütte-, ventilatsiooni- ja jahutuseinsener, tase 7",35
Diplomeeritud lennundusinsener V,1
"Diplomeeritud mehaanikainsener tootearenduse alal, tase 7",22
"Diplomeeritud mehaanikainsener tootmistehnika alal, tase 7",13
Diplomeeritud mehaanikainsener V,45
Diplomeeritud mäeinsener V,8
"Diplomeeritud mäeinsener, tase 7",35
Diplomeeritud raudteeinsener V,72
"Diplomeeritud raudteeinsener, tase 7",14
"Diplomeeritud sisearhitekt, tase 7",2
"Diplomeeritud soojusenergeetikainsener soojusmajanduse ja kütuste alal, tase 7",1
"Diplomeeritud soojusenergeetikainsener soojustehnoloogia seadmete alal, tase 7",1
"Diplomeeritud soojusenergeetikainsener, tase 7",16
Diplomeeritud soojustehnikainsener V,24
Diplomeeritud teedeinsener V,17
"Diplomeeritud teedeinsener, tase 7",76
Diplomeeritud transporditehnikainsener V,3
"Diplomeeritud veevarustuse- ja kanalisatsiooniinsener, tase 7",107
"DNA - ekspert, tase 7",2
"DNA - ekspert, tase 8",1
DNA ekspert IV,1
Dokumendiekspert IV,2
Dokumendiekspert V,1
"Dokumendiekspert, tase 8",1
Dokumendihaldur IV,7
Dokumendihaldur V,11
"Eesti loodusterapeut, tase 6",6
Ehitusinsener IV,217
"Ehitusinsener, tase 6",82
Ehitusjuht III,521
"Ehitusjuht, tase 6",412
Ehitusplekksepp III,1
Ehituspuusepp I,153
Ehituspuusepp II,4
Ehituspuusepp III,1
